                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.503,                  1.692,                 1.9527,                0.60436,                0.54919,                0.61778,                0.30622,                 1.6709,                 1.6759,                 2.1495,              0.0076664,              0.0076664,              0.0076664
                     35,                 1.4989,                 1.6794,                 1.9515,                0.52068,                0.67011,                0.65287,                0.32595,                 1.6179,                 1.6815,                 2.0705,              0.0075957,              0.0075957,              0.0075957
                     36,                 1.4996,                 1.6602,                 1.9369,                 0.5659,                0.66478,                0.67047,                0.33741,                 1.6062,                 1.5878,                 2.0431,               0.007525,               0.007525,               0.007525
                     37,                 1.5052,                 1.6488,                 1.9453,                0.59571,                0.60076,                  0.632,                0.31862,                  1.648,                  1.629,                 2.1231,              0.0074543,              0.0074543,              0.0074543
                     38,                 1.4696,                 1.6457,                 1.9295,                 0.6296,                0.60793,                0.64743,                0.33352,                  1.564,                  1.639,                 2.0258,              0.0073836,              0.0073836,              0.0073836
                     39,                 1.4897,                 1.5865,                 1.9264,                0.51964,                0.64039,                0.64466,                0.32558,                 1.5835,                 1.6697,                 2.0672,              0.0073129,              0.0073129,              0.0073129
                     40,                 1.4787,                 1.6195,                 1.9247,                0.57712,                0.63819,                0.67355,                0.35763,                 1.5704,                 1.5533,                 2.0246,              0.0072421,              0.0072421,              0.0072421
                     41,                 1.4701,                  1.616,                 1.9075,                0.59175,                0.62186,                0.66066,                0.32964,                 1.6352,                 1.6368,                 2.0903,              0.0071714,              0.0071714,              0.0071714
                     42,                 1.4693,                 1.6035,                 1.9136,                0.57944,                0.62574,                0.65703,                0.33373,                 1.6318,                 1.5788,                 2.0918,              0.0071007,              0.0071007,              0.0071007
                     43,                  1.475,                 1.5876,                 1.9203,                0.61553,                0.64595,                0.68142,                0.35444,                 1.5567,                 1.5217,                 2.0239,                0.00703,                0.00703,                0.00703
                     44,                 1.4689,                 1.5801,                  1.909,                0.59673,                0.62721,                0.68135,                0.35533,                 1.5673,                 1.5195,                 2.0336,              0.0069593,              0.0069593,              0.0069593
                     45,                  1.463,                 1.5757,                 1.9099,                0.63712,                0.62885,                 0.6935,                0.35493,                 1.6044,                 1.5544,                 2.0651,              0.0068886,              0.0068886,              0.0068886
                     46,                 1.4516,                 1.5737,                 1.9033,                0.62301,                0.64512,                0.68357,                0.35151,                 1.5991,                 1.5365,                 2.0503,              0.0068179,              0.0068179,              0.0068179
